State,Year,Quarter,District,RegisteredUser,AppOpens
Andhra Pradesh,2022,Q1 (Jan - Mar),east godavari district,2432305,87134562
Andhra Pradesh,2022,Q1 (Jan - Mar),srikakulam district,1027283,46691467
Andhra Pradesh,2022,Q1 (Jan - Mar),visakhapatnam district,3061324,88803090
Andhra Pradesh,2022,Q1 (Jan - Mar),prakasam district,1408929,104851997
Andhra Pradesh,2022,Q1 (Jan - Mar),anantapur district,1827094,155792533
Andhra Pradesh,2022,Q1 (Jan - Mar),kurnool district,1729513,119653214
Andhra Pradesh,2022,Q1 (Jan - Mar),guntur district,2387051,88844052
Andhra Pradesh,2022,Q1 (Jan - Mar),krishna district,2423373,85871644
Andhra Pradesh,2022,Q1 (Jan - Mar),spsr nellore district,1431664,101671767
Andhra Pradesh,2022,Q1 (Jan - Mar),vizianagaram district,892889,44804002
Andhra Pradesh,2022,Q1 (Jan - Mar),ysr district,1339782,98878499
Andhra Pradesh,2022,Q1 (Jan - Mar),west godavari district,1626039,87642475
Andhra Pradesh,2022,Q1 (Jan - Mar),chittoor district,2270705,144146671
Andhra Pradesh,2022,Q2 (Apr - Jun),east godavari district,2564165,93383888
Andhra Pradesh,2022,Q2 (Apr - Jun),srikakulam district,1086164,51087942
Andhra Pradesh,2022,Q2 (Apr - Jun),visakhapatnam district,3226029,93552701
Andhra Pradesh,2022,Q2 (Apr - Jun),prakasam district,1487589,108172758
Andhra Pradesh,2022,Q2 (Apr - Jun),anantapur district,1928213,181499094
Andhra Pradesh,2022,Q2 (Apr - Jun),kurnool district,1825280,136447455
Andhra Pradesh,2022,Q2 (Apr - Jun),guntur district,2514794,91997209
Andhra Pradesh,2022,Q2 (Apr - Jun),krishna district,2552107,95341487
Andhra Pradesh,2022,Q2 (Apr - Jun),spsr nellore district,1509927,108755384
Andhra Pradesh,2022,Q2 (Apr - Jun),vizianagaram district,943242,50230853
Andhra Pradesh,2022,Q2 (Apr - Jun),ysr district,1412848,106157470
Andhra Pradesh,2022,Q2 (Apr - Jun),west godavari district,1714357,103338893
Andhra Pradesh,2022,Q2 (Apr - Jun),chittoor district,2392549,158771722
Andhra Pradesh,2022,Q3 (Jul - Sep),east godavari district,2702234,85780890
Andhra Pradesh,2022,Q3 (Jul - Sep),srikakulam district,1147016,46323107
Andhra Pradesh,2022,Q3 (Jul - Sep),visakhapatnam district,3397514,87888969
Andhra Pradesh,2022,Q3 (Jul - Sep),prakasam district,1567520,114185009
Andhra Pradesh,2022,Q3 (Jul - Sep),anantapur district,2030824,181038520
Andhra Pradesh,2022,Q3 (Jul - Sep),kurnool district,1924127,143715547
Andhra Pradesh,2022,Q3 (Jul - Sep),guntur district,2647100,91146114
Andhra Pradesh,2022,Q3 (Jul - Sep),krishna district,2685215,86220959
Andhra Pradesh,2022,Q3 (Jul - Sep),spsr nellore district,1588875,105928407
Andhra Pradesh,2022,Q3 (Jul - Sep),vizianagaram district,995141,46767889
Andhra Pradesh,2022,Q3 (Jul - Sep),ysr district,1487140,107976611
Andhra Pradesh,2022,Q3 (Jul - Sep),west godavari district,1805967,97509407
Andhra Pradesh,2022,Q3 (Jul - Sep),chittoor district,2517657,162524274
Andhra Pradesh,2022,Q4 (Oct - Dec),east godavari district,2835087,173720880
Andhra Pradesh,2022,Q4 (Oct - Dec),srikakulam district,1204785,72666058
Andhra Pradesh,2022,Q4 (Oct - Dec),visakhapatnam district,3566854,208604256
Andhra Pradesh,2022,Q4 (Oct - Dec),prakasam district,1642503,94432083
Andhra Pradesh,2022,Q4 (Oct - Dec),anantapur district,2128066,136685634
Andhra Pradesh,2022,Q4 (Oct - Dec),kurnool district,2018290,105333688
Andhra Pradesh,2022,Q4 (Oct - Dec),guntur district,2774365,144773169
Andhra Pradesh,2022,Q4 (Oct - Dec),krishna district,2813645,156902257
Andhra Pradesh,2022,Q4 (Oct - Dec),spsr nellore district,1663684,103101986
Andhra Pradesh,2022,Q4 (Oct - Dec),vizianagaram district,1044490,64406405
Andhra Pradesh,2022,Q4 (Oct - Dec),ysr district,1556901,93975668
Andhra Pradesh,2022,Q4 (Oct - Dec),west godavari district,1893310,129116752
Andhra Pradesh,2022,Q4 (Oct - Dec),chittoor district,2636036,189655966
Andhra Pradesh,2023,Q1 (Jan - Mar),east godavari district,2965296,98931582
Andhra Pradesh,2023,Q1 (Jan - Mar),srikakulam district,1263204,48743038
Andhra Pradesh,2023,Q1 (Jan - Mar),visakhapatnam district,3732544,107253885
Andhra Pradesh,2023,Q1 (Jan - Mar),prakasam district,1719910,112502189
Andhra Pradesh,2023,Q1 (Jan - Mar),anantapur district,2228505,177793392
Andhra Pradesh,2023,Q1 (Jan - Mar),kurnool district,2114023,149581663
Andhra Pradesh,2023,Q1 (Jan - Mar),guntur district,2900895,103514892
Andhra Pradesh,2023,Q1 (Jan - Mar),krishna district,2941585,98727644
Andhra Pradesh,2023,Q1 (Jan - Mar),spsr nellore district,1740294,111993275
Andhra Pradesh,2023,Q1 (Jan - Mar),vizianagaram district,1094782,55519223
Andhra Pradesh,2023,Q1 (Jan - Mar),ysr district,1628595,109842928
