State,Year,Quarter,Brands,Count,Percentage
Chandigarh,2020,Q4 (Oct - Dec),Xiaomi,90201,0.23045615505286124
Chandigarh,2020,Q4 (Oct - Dec),Samsung,78159,0.19968983295946366
Chandigarh,2020,Q4 (Oct - Dec),Vivo,68293,0.17448301235047342
Chandigarh,2020,Q4 (Oct - Dec),Oppo,51650,0.1319615127158267
Chandigarh,2020,Q4 (Oct - Dec),Apple,30593,0.07816260519874707
Chandigarh,2020,Q4 (Oct - Dec),Realme,14705,0.037570068625096445
Chandigarh,2020,Q4 (Oct - Dec),OnePlus,10462,0.02672955171409446
Chandigarh,2020,Q4 (Oct - Dec),Motorola,7780,0.01987726174112549
Chandigarh,2020,Q4 (Oct - Dec),Huawei,5641,0.014412292221296774
Chandigarh,2020,Q4 (Oct - Dec),HMD Global,4400,0.011241639030970715
Chandigarh,2020,Q4 (Oct - Dec),Others,29518,0.075416068390044
Chandigarh,2021,Q4 (Oct - Dec),Xiaomi,112958,0.22058145801926216
Chandigarh,2021,Q4 (Oct - Dec),Vivo,97127,0.18966709106957344
Chandigarh,2021,Q4 (Oct - Dec),Samsung,97097,0.1896085078462464
Chandigarh,2021,Q4 (Oct - Dec),Oppo,71275,0.13918397475453628
Chandigarh,2021,Q4 (Oct - Dec),Apple,41698,0.0814267748763894
Chandigarh,2021,Q4 (Oct - Dec),Realme,27098,0.05291627285722097
Chandigarh,2021,Q4 (Oct - Dec),OnePlus,14380,0.028080891714770004
Chandigarh,2021,Q4 (Oct - Dec),Motorola,8240,0.016090858673832045
Chandigarh,2021,Q4 (Oct - Dec),Huawei,5797,0.011320231520898588
Chandigarh,2021,Q4 (Oct - Dec),HMD Global,4511,0.008808964014278685
Chandigarh,2021,Q4 (Oct - Dec),Others,31911,0.06231497465299204
Chhattisgarh,2018,Q4 (Oct - Dec),Xiaomi,378100,0.23930410038493719
Chhattisgarh,2018,Q4 (Oct - Dec),Samsung,280138,0.17730275607943807
Chhattisgarh,2018,Q4 (Oct - Dec),Vivo,275135,0.1741362963750587
Chhattisgarh,2018,Q4 (Oct - Dec),Oppo,155513,0.09842607395705565
Chhattisgarh,2018,Q4 (Oct - Dec),Micromax,154018,0.09747987022768383
Chhattisgarh,2018,Q4 (Oct - Dec),Realme,91037,0.05761842736509793
Chhattisgarh,2018,Q4 (Oct - Dec),Apple,28128,0.017802554180448328
Chhattisgarh,2018,Q4 (Oct - Dec),OnePlus,27785,0.01758546529805734
Chhattisgarh,2018,Q4 (Oct - Dec),Motorola,22980,0.014544322208002796
Chhattisgarh,2018,Q4 (Oct - Dec),Lenovo,22246,0.014079764657929946
Chhattisgarh,2018,Q4 (Oct - Dec),Others,144918,0.09172036926629021
Chhattisgarh,2019,Q4 (Oct - Dec),Xiaomi,649776,0.23837118016068087
Chhattisgarh,2019,Q4 (Oct - Dec),Vivo,534907,0.19623133643934113
Chhattisgarh,2019,Q4 (Oct - Dec),Samsung,473054,0.17354048204262812
Chhattisgarh,2019,Q4 (Oct - Dec),Oppo,290835,0.10669320224513004
Chhattisgarh,2019,Q4 (Oct - Dec),Micromax,243335,0.08926776477493671
Chhattisgarh,2019,Q4 (Oct - Dec),Realme,169406,0.06214681389632782
Chhattisgarh,2019,Q4 (Oct - Dec),Apple,44369,0.016276826002421217
Chhattisgarh,2019,Q4 (Oct - Dec),OnePlus,41107,0.015080157012362889
Chhattisgarh,2019,Q4 (Oct - Dec),Motorola,32554,0.011942477713782604
Chhattisgarh,2019,Q4 (Oct - Dec),Lenovo,27622,0.010133167027403793
Chhattisgarh,2019,Q4 (Oct - Dec),Others,218935,0.08031659268498477
Chhattisgarh,2020,Q4 (Oct - Dec),Xiaomi,962085,0.22958162802901064
Chhattisgarh,2020,Q4 (Oct - Dec),Vivo,951506,0.22705716912681498
Chhattisgarh,2020,Q4 (Oct - Dec),Samsung,697989,0.1665605959622498
Chhattisgarh,2020,Q4 (Oct - Dec),Oppo,473974,0.11310406311648377
Chhattisgarh,2020,Q4 (Oct - Dec),Micromax,315002,0.07516869298699638
Chhattisgarh,2020,Q4 (Oct - Dec),Realme,302527,0.07219179301489213
Chhattisgarh,2020,Q4 (Oct - Dec),Apple,59187,0.014123749791497687
Chhattisgarh,2020,Q4 (Oct - Dec),OnePlus,51351,0.012253850939280548
